Metadata_Plate,Metadata_Well,Metadata_broad_sample,Metadata_moa
24280,j01,BRD-K90524085-001-05-2,phosphodiesterase inhibitor|platelet aggregation inhibitor
24280,j04,BRD-K90574421-001-01-9,Serotonin receptor agonist
24280,j08,BRD-K90789829-003-03-3,Adrenergic inhibitor
24280,j09,BRD-K90976994-001-02-1,Bile acid
24280,j10,BRD-K91243525-001-01-5,Neurotensin receptor antagonist
24280,j11,BRD-K91263825-001-02-8,tricyclic antidepressant
24280,j13,BRD-K91315211-334-02-3,Histamine receptor agonist
24280,j15,BRD-K91336023-001-01-4,Dopamine receptor agonist
24280,j16,BRD-K91370081-001-04-6,DNA synthesis inhibitor
24280,j19,BRD-K91904471-001-01-6,p38 MAPK inhibitor
24280,j20,BRD-K92000912-001-06-8,cannabinoid receptor antagonist
24280,j24,BRD-K92015269-001-01-6,dopamine uptake inhibitor
24280,k02,BRD-K92049597-001-04-2,sodium channel blocker
24280,k04,BRD-K92093830-003-05-0,topoisomerase inhibitor
24280,k05,BRD-K92138166-001-01-0,other antibiotic
24280,k09,BRD-K92492521-001-01-1,Leukotriene receptor antagonist
24280,k12,BRD-K92678294-001-01-0,Isoflavone
24280,k14,BRD-K92726801-003-02-7,Haemostatic agent
24280,k17,BRD-K92731339-227-02-3,ACE inhibitor
24280,k18,BRD-K92758126-001-06-3,NFkB pathway inhibitor
24280,k19,BRD-K92778217-001-04-6,Cyclooxygenase inhibitor
24280,k20,BRD-K92830582-003-04-8,adrenergic receptor antagonist
24280,k22,BRD-K92984783-003-02-4,Serotonin receptor antagonist
24280,l01,BRD-K93080877-001-02-1,tripeptidyl peptidase inhibitor
24280,l02,BRD-K93176058-001-01-0,retinoid receptor agonist
24280,l03,BRD-K93188295-300-01-4,adrenergic receptor antagonist
24280,l05,BRD-K93258693-001-02-5,PPAR receptor antagonist
24280,l06,BRD-K93280214-004-02-3,GABA receptor antagonist
24280,l09,BRD-K93325701-001-03-0,SRC inhibitor
24280,l10,BRD-K93332168-001-03-2,Monoamine oxidase inhibitor
24280,l11,BRD-K93441486-067-03-7,Acetylcholine receptor antagonist
24280,l12,BRD-K93460210-001-01-3,Serotonin receptor antagonist
24280,l13,BRD-K93461745-001-01-5,Serotonin receptor agonist
24280,l14,BRD-K93480852-001-02-2,calcium/calmodulin dependent protein kinase inhibitor
24280,l19,BRD-K93568044-001-03-1,glucocorticoid receptor agonist
24280,l20,BRD-K93658967-001-01-7,CDK inhibitor|CFTR channel activator|glycogen synthase kinase inhibitor|JNK inhibitor
24280,l21,BRD-K93754473-001-02-9,estrogen receptor antagonist|selective estrogen receptor modulator (SERM)
24280,l22,BRD-K94144010-001-05-5,nicotine metabolite
24280,m04,BRD-K94270326-004-01-0,dopamine receptor antagonist
24280,m06,BRD-K94379058-001-03-5,cannabinoid receptor inverse agonist
24280,m07,BRD-K94441233-001-03-1,HMGCR inhibitor
24280,m08,BRD-K94512704-001-01-3,dopamine receptor antagonist
24280,m12,BRD-K94689771-001-02-5,CYP1B1 inhibitor
24280,m17,BRD-K94832621-001-01-5,estrogen receptor antagonist|selective estrogen receptor modulator (SERM)
24280,m19,BRD-K94841585-001-02-8,laxative|free radical generator
24280,m21,BRD-K94887716-001-01-5,Serotonin receptor agonist
24280,m22,BRD-K94920105-001-01-3,PARP inhibitor
24280,m24,BRD-K95202259-001-01-9,p38 MAPK inhibitor
24280,n01,BRD-K95237249-001-04-2,Uricosuric blocker
24280,n02,BRD-K95309561-001-04-9,estrogen receptor agonist
24280,n04,BRD-K95435023-001-01-0,c-Met inhibitor|hepatocyte growth factor receptor inhibitor
24280,n07,BRD-K95603879-001-03-4,ATPase inhibitor
24280,n08,BRD-K95609758-001-01-1,potassium channel activator
24280,n11,BRD-K95655893-001-01-0,VEGFR kinase inhibitor
24280,n12,BRD-K95676198-001-02-6,JAK inhibitor
24280,n15,BRD-K95739795-001-01-1,Vesicular monoamine transporter inhibitor
24280,n16,BRD-K95763993-001-03-7,PDGFR receptor inhibitor
24280,n17,BRD-K95785537-001-04-1,src inhibitor
24280,n20,BRD-K95851186-001-02-9,GABA receptor modulator
24280,n21,BRD-K95899059-003-01-0,Serotonin receptor agonist
24280,n22,BRD-K95992530-001-02-4,integrin antagonist
24280,n23,BRD-K96119599-001-04-7,Melanin inhibitor
24280,n24,BRD-K96144918-001-02-3,KPL-1 tumor suppressor
24280,o04,BRD-K96263742-001-02-3,PPAR receptor agonist
24280,o05,BRD-K96271548-001-02-2,antioxidant
24280,o07,BRD-K96402602-001-01-8,PPMTase inhibitor
24280,o08,BRD-K96527333-001-03-4,GABA receptor modulator
24280,o10,BRD-K96670504-001-01-9,Glucokinase inhibitor
24280,o13,BRD-K96720755-001-01-8,Vasopressin receptor antagonist
24280,o14,BRD-K96799727-001-01-7,HSP inhibitor
24280,o15,BRD-K96809896-001-01-9,p38 MAPK inhibitor
24280,o16,BRD-K96862998-001-03-1,TGF beta receptor inhibitor
24280,o17,BRD-K97061094-001-03-2,Histamine receptor antagonist
24280,o18,BRD-K97118047-001-01-2,Casein kinase inhibitor
24280,o19,BRD-K97158071-001-04-1,Dopamine receptor antagonist
24280,o20,BRD-K97181089-001-02-7,sodium channel blocker
24280,o22,BRD-K97330509-001-01-4,src inhibitor
24280,o23,BRD-K97354755-001-01-5,src inhibitor
24280,o24,BRD-K97365803-001-01-3,PI3K inhibitor
24280,p01,BRD-K97399794-001-07-0,polar auxin transport inhibitor
24280,p02,BRD-K97440753-066-03-3,adrenergic receptor antagonist|prolactin inhibitor
24280,p04,BRD-K97509413-001-01-8,AGE inhibitor|estrogen receptor agonist|estrogen receptor ligand
24280,p05,BRD-K97521363-001-03-9,glycolysis inhibitor
24280,p06,BRD-K97530723-001-04-3,melatonin receptor agonist|nitric oxide synthase inhibitor
24280,p07,BRD-K97564742-103-01-9,histamine receptor antagonist
24280,p10,BRD-K97688263-001-02-9,sodium channel blocker
24280,p13,BRD-K97746869-001-04-9,ATP channel blocker
24280,p14,BRD-K97752965-001-01-6,ATP channel activator|nitric oxide donor|potassium channel agonist
24280,p15,BRD-K97799481-002-03-6,Adenosine receptor antagonist
24280,p16,BRD-K97810537-001-03-7,glucocorticoid receptor agonist
24280,p17,BRD-K98039984-001-03-0,glucocorticoid receptor agonist
24280,p18,BRD-K98143437-001-01-7,p38 MAPK inhibitor|interleukin inhibitor|tumor necrosis factor production inhibitor
24280,p20,BRD-K98157055-001-04-2,glutamate receptor antagonist
24280,p21,BRD-K98174813-001-05-7,bacterial 30S ribosomal subunit inhibitor
24280,p23,BRD-K98297262-001-01-1,"1,3-beta-glucan synthase inhibitor"
24280,p24,BRD-K98521173-001-03-8,mineralocorticoid receptor agonist
24304,a01,BRD-A44966919-001-03-1,acetylcholine receptor antagonist
24304,a02,BRD-A45140972-060-02-4,bacterial 50S ribosomal subunit inhibitor
24304,a03,BRD-A45499626-001-01-0,Glutamate receptor antagonist
24304,a04,BRD-A45543382-001-02-7,radiopaque medium
24304,a05,BRD-A46066006-004-04-4,muscarinic antagonist
24304,a10,BRD-A47144777-001-02-5,HSP90 inhibitor
24304,a11,BRD-A47494775-003-03-0,Adrenergic receptor agonist
24304,a12,BRD-A47513740-001-02-5,protein phosphatase inhibitor
24304,a15,BRD-A47598013-004-02-0,selective serotonin reuptake inhibitor (SSRI)
24304,a17,BRD-A48257147-001-01-9,glutamate receptor agonist
24304,a18,BRD-A48300215-001-01-4,sodium channel blocker
24304,a21,BRD-A48809242-001-02-9,adenosine receptor agonist
24304,a23,BRD-A49046702-001-01-2,GABA uptake inhibitor
24304,a24,BRD-A49172652-001-13-1,ATPase inhibitor
24304,b01,BRD-A49225603-045-02-7,histamine receptor agonist
24304,b02,BRD-A49358627-001-03-9,PPAR receptor agonist
24304,b03,BRD-A49370193-051-01-7,serotonin receptor agonist
24304,b05,BRD-A49680073-001-01-9,JAK inhibitor|Lipocortin synthesis stimulant|STAT inhibitor
24304,b06,BRD-A49734948-001-03-3,Plant alkaloid
24304,b07,BRD-A49906757-004-03-1,Acetylcholine receptor antagonist
24304,b09,BRD-A50157456-065-02-4,adrenergic receptor agonist
24304,b10,BRD-A50311610-300-04-7,CAR agonist
24304,b11,BRD-A50675702-001-03-0,chloride channel blocker|GABA gated chloride channel blocker
24304,b12,BRD-A50684349-001-01-5,dopamine receptor agonist
24304,b15,BRD-A50737080-001-01-4,ATR kinase inhibitor
24304,b16,BRD-A50764878-001-01-4,serotonin receptor antagonist
24304,b19,BRD-A51410489-001-01-4,adrenergic receptor antagonist
24304,b21,BRD-A51714012-001-02-3,Adrenergic inhibitor
24304,b22,BRD-A51820102-008-04-0,Bacterial cell wall synthesis inhibitor
24304,b23,BRD-A51829654-001-01-4,Serotonin receptor antagonist
24304,c01,BRD-A52588987-004-04-1,Dopamine receptor antagonist
24304,c02,BRD-A52660433-066-01-3,Monoamine oxidase inhibitor
24304,c04,BRD-A52922642-001-02-9,L-type calcium channel blocker
24304,c05,BRD-A53077924-236-01-4,Selective serotonin reuptake enhancer (SSRE)
24304,c07,BRD-A53416814-001-01-5,nitric oxide production inhibitor|phosphoenolpyruvate carboxylase activator|serine/threonine protein phosphatase activator
24304,c09,BRD-A53576514-003-03-1,Acetylcholine receptor antagonist
24304,c10,BRD-A53952395-003-04-6,local anesthetic
24304,c13,BRD-A54029483-001-01-5,endothelin receptor antagonist
24304,c14,BRD-A54236247-003-02-7,Adrenergic receptor agonist
24304,c17,BRD-A54490543-066-04-4,monoamine oxidase inhibitor
24304,c18,BRD-A54845972-066-01-5,serotonin receptor agonist|adrenergic receptor partial agonist|dopamine receptor agonist
24304,c19,BRD-A54927599-001-07-8,P-selectin inhibitor
24304,c22,BRD-A55272860-001-03-9,dopamine receptor antagonist
24304,c23,BRD-A55369275-001-01-6,GABA receptor antagonist
24304,c24,BRD-A55393291-001-02-4,Androgen receptor agonist
24304,d01,BRD-A55424491-001-04-1,dihydrofolate reductase inhibitor
24304,d04,BRD-A55756846-001-05-5,PKA inhibitor
24304,d05,BRD-A55913614-316-04-7,antimalarial agent|DNA inhibitor
24304,d07,BRD-A56020723-001-02-0,cathepsin inhibitor|antiamyloidogenic agent
24304,d08,BRD-A56675431-001-04-0,Thiazide diuretic
24304,d13,BRD-A56987319-001-03-8,Adenylyl cyclase inhibitor
24304,d14,BRD-A57133233-003-03-7,histamine receptor antagonist
24304,d17,BRD-A57382968-001-06-8,Cyclooxygenase inhibitor
24304,d20,BRD-A58048407-001-06-3,Calcium channel blocker
24304,d24,BRD-A59215453-003-03-3,Acetylcholine receptor antagonist
24304,e03,BRD-A59303141-001-03-9,Thiazide diuretic
24304,e06,BRD-A60197193-001-05-4,Dopamine receptor antagonist
24304,e12,BRD-A61154809-001-03-5,ATP channel blocker|insulin secretagogue
24304,e14,BRD-A61392169-001-01-9,glutamate receptor antagonist
24304,e15,BRD-A61470182-001-02-4,macrophage activator
24304,e16,BRD-A61793559-001-04-0,Carbonic anhydrase inhibitor
24304,e19,BRD-A61856038-001-01-2,Lipoxygenase inhibitor
24304,e22,BRD-A62021152-003-01-8,serotonin receptor agonist
24304,e23,BRD-A62057054-001-01-5,Serotonin receptor antagonist
24304,f04,BRD-A62428732-096-02-6,antihistamine
24304,f05,BRD-A62505706-001-02-3,DNA directed DNA polymerase inhibitor
24304,f06,BRD-A62525898-001-02-9,Glucocorticoid receptor agonist
24304,f08,BRD-A63346720-300-01-1,sigma receptor antagonist|dopamine reuptake inhibitor
24304,f11,BRD-A63546914-003-01-2,Glutamate receptor antagonist
24304,f12,BRD-A63667919-103-01-9,dopamine receptor antagonist|partial serotonin receptor agonist
24304,f14,BRD-A63836183-362-01-1,angiotensin receptor antagonist
24304,f15,BRD-A63894585-001-03-4,glucocorticoid receptor agonist
24304,f16,BRD-A64092382-003-03-5,Sodium channel blocker
24304,f19,BRD-A64125466-236-02-0,choleretic agent
24304,f20,BRD-A64227845-004-02-8,Dopamine receptor agonist
24304,f21,BRD-A64228451-001-03-5,BTK inhibitor
24304,f23,BRD-A64485570-001-02-9,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor
24304,g02,BRD-A64933752-001-01-0,adenosine receptor agonist
24304,g06,BRD-A64977602-001-01-9,Adrenergic receptor antagonist
24304,g07,BRD-A65013509-003-03-8,Acetylcholine receptor antagonist
24304,g08,BRD-A65051990-001-03-8,vitamin K antagonist
24304,g09,BRD-A65076780-001-01-3,adrenergic receptor antagonist|prolactin inhibitor
24304,g10,BRD-A65145453-001-02-0,glutamate receptor agonist
24304,g11,BRD-A65280694-003-03-8,Dopamine receptor antagonist
24304,g12,BRD-A65440446-001-02-5,Adrenergic receptor agonist
24304,g13,BRD-A65597028-003-02-4,Adrenergic receptor antagonist
24304,g14,BRD-A65615053-003-01-4,Serotonin receptor antagonist
24304,g15,BRD-A65671304-001-02-6,angiotensin receptor antagonist
24304,g17,BRD-A66025870-237-05-1,bacterial cell wall synthesis inhibitor
24304,g18,BRD-A66199457-001-02-2,antineoplastic
24304,g22,BRD-A66435872-313-01-8,Histamine receptor agonist
24304,g23,BRD-A66563878-003-01-8,Adrenergic receptor agonist
24304,h01,BRD-A66927094-001-01-7,Dopamine receptor antagonist
24304,h07,BRD-A67552019-001-02-2,ATPase inhibitor
24304,h09,BRD-A67862938-034-04-0,Adrenergic receptor antagonist
24304,h10,BRD-A68281735-001-02-0,Leukotriene receptor antagonist
24304,h12,BRD-A68723818-050-04-4,Histamine receptor antagonist
24304,h13,BRD-A68888262-003-02-9,histamine receptor antagonist
24304,h14,BRD-A68929948-001-01-9,antiamyloidogenic agent|gamma secretase inhibitor
24304,h15,BRD-A69636825-003-02-1,Calcium channel blocker
24304,h17,BRD-A69777949-001-04-4,topoisomerase inhibitor
24304,h18,BRD-A69786436-003-02-5,acetylcholine receptor antagonist
24304,h23,BRD-A70083328-001-02-9,Acetylcholinesterase inhibitor
24304,h24,BRD-A70268693-103-01-9,Acetylcholine receptor agonist
24304,i01,BRD-A70407468-001-01-2,adenosine receptor antagonist
24304,i02,BRD-A70514680-003-03-9,Local anesthetic
24304,i03,BRD-A70649075-008-04-3,sterol demethylase inhibitor
24304,i08,BRD-A71157293-003-03-5,Vitamin B
24304,i09,BRD-A71203467-001-01-5,Dopamine receptor antagonist
24304,i10,BRD-A71774530-001-01-8,chitin inhibitor
24304,i12,BRD-A71816415-236-02-7,HMGCR inhibitor
24304,i13,BRD-A72066420-001-01-1,PPAR receptor antagonist
24304,i14,BRD-A72483914-001-01-1,Serotonin receptor antagonist
24304,i15,BRD-A72596465-001-01-3,PPAR receptor antagonist
24304,i16,BRD-A72703248-001-02-7,calcium channel blocker|cytochrome P450 inhibitor
24304,i17,BRD-A72711497-236-02-0,bacterial permeability inducer
24304,i18,BRD-A72988804-001-03-8,Cyclooxygenase inhibitor
24304,i19,BRD-A73368467-003-02-8,Histamine receptor antagonist
24304,i23,BRD-A73859745-236-01-8,Apoptosis stimulant
24304,j02,BRD-A74667430-001-04-6,Cyclooxygenase inhibitor
24304,j03,BRD-A74904029-001-04-0,Casein kinase inhibitor
24304,j07,BRD-A74980173-001-02-8,Bacterial DNA gyrase inhibitor
24304,j09,BRD-A75478957-001-01-6,collagenase inhibitor|metalloproteinase inhibitor|stromelysin inhibitor
24304,j10,BRD-A75552914-001-04-4,Cyclooxygenase inhibitor
24304,j12,BRD-A75769826-003-01-3,opioid receptor antagonist
24304,j13,BRD-A75817871-001-02-6,ATPase inhibitor
24304,j14,BRD-A75850590-003-04-9,bacterial DNA gyrase inhibitor
24304,j16,BRD-A76093993-001-01-8,Potassium channel activator
24304,j24,BRD-A77291778-003-04-8,acetylcholine receptor antagonist
24304,k01,BRD-A77299732-001-01-6,Eukaryotic translation initiation factor inhibitor
24304,k02,BRD-A77349281-001-02-2,heparanase inhibitor|tyrosine phosphatase inhibitor
24304,k06,BRD-A78295502-337-03-5,anti-arrhythmia agent
24304,k10,BRD-A78377521-001-02-2,Kinesin-like spindle protein inhibitor
24304,k11,BRD-A78877355-003-03-6,Cyclooxygenase inhibitor
24304,k12,BRD-A78942461-003-01-3,Adrenergic receptor antagonist
24304,k13,BRD-A79226577-003-01-1,serotonin receptor antagonist|polarization inhibitor|sodium channel blocker
24304,k17,BRD-A79672927-001-04-1,Acetylcholine receptor antagonist
24304,k18,BRD-A79981887-003-04-0,adrenergic receptor agonist
24304,k19,BRD-A80017228-001-04-2,Sodium/potassium/chloride transporter inhibitor
24304,k21,BRD-A80213327-305-01-8,Ras GTPase inhibitor
24304,k22,BRD-A80594172-001-02-0,glucocorticoid receptor agonist
24304,l01,BRD-A80641450-001-01-4,Endothelin receptor antagonist
24304,l05,BRD-A81177136-001-03-6,calcium/calmodulin dependent protein kinase inhibitor|purinergic receptor antagonist
24304,l10,BRD-A81615860-001-02-9,tryptophan hydroxylase inhibitor
24304,l11,BRD-A81795050-003-01-7,oxidosqualene cyclase inhibitor
24304,l12,BRD-A81866333-003-01-5,Adenosine receptor agonist
24304,l13,BRD-A82238138-001-01-7,glucocorticoid receptor agonist
24304,l17,BRD-A82371568-001-01-5,ribonucleoside reductase inhibitor|DNA polymerase inhibitor|DNA repair enzyme inhibitor|DNA synthesis inhibitor|ribonucleotide reductase inhibitor
24304,l19,BRD-A82590476-001-01-1,tachykinin antagonist
24304,l20,BRD-A82656074-003-01-2,opioid receptor antagonist
24304,l22,BRD-A83326220-001-02-6,Nitric oxide production inhibitor
24304,m02,BRD-A83431637-001-01-3,Cytochrome P450 inhibitor
24304,m04,BRD-A83695761-001-01-1,Potassium channel blocker
24304,m05,BRD-A83855350-003-01-4,Opioid receptor antagonist
24304,m07,BRD-A83937277-001-03-0,Hydantoin antiepileptic
24304,m08,BRD-A84174393-001-02-0,Cyclooxygenase inhibitor
24304,m11,BRD-A84174873-001-06-0,benzodiazepine receptor agonist
24304,m12,BRD-A84389091-001-01-1,GABA receptor inverse agonist
24304,m15,BRD-A84389633-001-01-6,serotonin receptor antagonist
24304,m19,BRD-A85137183-001-01-2,bacterial cell wall synthesis inhibitor
24304,m21,BRD-A85234536-001-04-5,Adenosine receptor agonist
24304,m22,BRD-A85280935-003-01-7,Dopamine receptor agonist
24304,m23,BRD-A85472596-001-01-4,Prostanoid receptor antagonist
24304,m24,BRD-A85587465-001-01-7,Serotonin receptor antagonist
24304,n01,BRD-A86044036-001-04-2,cyclooxygenase inhibitor
