Metadata_broad_sample,Metadata_pert_iname,Metadata_pert_iname2,Metadata_moa,Metadata_target
BRD-A23723433-001-01-2,paclitaxel,BRD-A23723433,tubulin inhibitor|microtubule stabilizing agent|microtubule stimulant|P glycoprotein inhibitor|taxane,"ABCB1, BCL2, CYP2C8, MAP2, MAP4, MAPT, NR1I2, TLR4, TUBB, TUBB1"
BRD-A24587114-066-03-5,NA,isoetarine,adrenergic receptor agonist,"ADRB1, ADRB2"
BRD-A24817035-001-04-7,NA,laudanosine,central nervous system agent,NA
BRD-A25234499-001-04-3,aminoglutethimide,aminoglutethimide,glucocorticoid receptor antagonist,"CYP11A1, CYP19A1"
BRD-A25775766-001-03-3,securinine,securinine,GABA receptor antagonist|TP53 activator,GABRA1
BRD-A26222320-001-02-6,puromycin,puromycin,protein synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1"
BRD-A26711594-001-02-7,nicardipine,nicardipine,calcium channel blocker,"ADORA3, ADRA1A, ADRA1B, ADRA1D, CACNA1C, CACNA1D, CACNA2D1, CACNB2, CALM1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, PDE1A, PDE1B"
BRD-A28856712-003-04-7,NA,tetryzoline,adrenergic receptor agonist,NA
BRD-A29260609-003-04-7,acebutolol,acebutolol,adrenergic receptor antagonist,"ADRB1, ADRB2"
BRD-A29289453-001-02-1,PCA-4248,PCA 4248,platelet activating factor receptor antagonist,PTAFR
BRD-A29322418-237-02-4,potassium-canrenoate,potassium canrenoate,mineralocorticoid receptor antagonist,NR3C2
BRD-A29437505-001-01-6,RWJ-21757,BRD-A29437505,TLR agonist,TLR7
BRD-A30717181-001-02-7,NA,triamcinolone diacetate,glucocorticoid receptor agonist,"CYP3A5, CYP3A7, NR3C1, SERPINA6"
BRD-A31800922-003-04-6,procyclidine,procyclidine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4"
BRD-A32505112-001-02-8,trandolapril,trandolapril,angiotensin converting enzyme inhibitor,ACE
BRD-A32673558-003-02-1,aceclidine,aceclidine,acetylcholine receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
BRD-A32949107-001-01-7,MRS-1845,BRD-A32949107,calcium channel blocker,ORAI1
BRD-A34255068-001-04-8,rolipram,rolipram,phosphodiesterase inhibitor,
BRD-A34309505-001-08-5,NA,Zopiclone[Imovane],benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA5, TSPO"
BRD-A34751532-001-03-6,homosalate,homosalate,HSP inducer,
BRD-A34788695-003-04-5,tetracycline,tetracycline,bacterial 30S ribosomal subunit inhibitor,PRNP
BRD-A34806832-001-02-7,NA,proscillaridin,ATPase inhibitor,ATP1A1
BRD-A35033682-001-01-0,NA,eriodictyol,cytochrome P450 inhibitor,"CYP1B1, NFE2L2, XDH"
BRD-A35338386-001-04-6,NECA,BRD-A35338386,adenosine receptor agonist,"ADORA1, ADORA2A, ADORA2B, ADORA3, HSP90B1"
BRD-A35623999-001-03-2,CGP-37157,CGP-37157,mitochondrial Na+/Ca2+ exchanger antagonist|sodium/calcium exchange inhibitor,SLC8A1
BRD-A35931254-003-02-7,NA,apomorphine,dopamine receptor agonist,"DRD1, DRD2, DRD3"
BRD-A37347161-003-01-8,BRL-52537,BRD-A37347161,opioid receptor agonist,OPRK1
BRD-A37432947-004-02-5,ipratropium,BRD-A37432947,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
BRD-A37441042-003-02-2,tulobuterol,tulobuterol,adrenergic receptor agonist,ADRB2
BRD-A37492983-001-03-8,iocetamic-acid,iocetamic acid,radiopaque medium,
BRD-A37704979-001-02-4,SB-203580,SB-203580,p38 MAPK inhibitor,"AKT1, ALOX5, CHEK1, CYP2D6, CYP3A4, GAK, GSK3B, LCK, MAPK1, MAPK10, MAPK11, MAPK12, MAPK14, MAPK8, MAPK9, PRKCA, RAF1, RIPK2, ROCK1, RPS6KB1, SGK1, SRC, TNF"
BRD-A37776212-003-02-5,ICI-204448,BRD-A37776212,opioid receptor agonist,OPRK1
BRD-A39522003-001-01-0,OMDM-2,BRD-A39522003,FAAH inhibitor|FAAH reuptake inhibitor,GPR119
BRD-A39747742-001-02-7,estradiol-valerate,estradiol valerate,estrogen receptor agonist,ESR1
BRD-A40022950-001-02-9,NA,gitoxigenin diacetate,ATPase inhibitor,NA
BRD-A41112154-001-02-1,NA,oleanolic acid acetate,G protein-coupled receptor agonist,NA
BRD-A41722204-003-01-5,sulmazole,sulmazole,adenosine receptor antagonist,
BRD-A42335949-300-04-9,alexidine,alexidine,phosphatidylglycerophosphatase inhibitor,PTPMT1
BRD-A42346008-003-03-6,NA,metanephrine,epinephrine metabolite,NA
BRD-A42553870-001-05-1,NA,BRD-A42553870,neuropeptide receptor antagonist,NPY5R
BRD-A42571354-300-01-3,cetirizine,cetirizine,histamine receptor antagonist,HRH1
BRD-A42628519-001-04-1,NA,iopanoic acid,radiopaque medium,NA
BRD-A42831637-001-02-2,NA,BRD-A42831637,anti-inflammatory|Cannabinoid metabolite,NA
BRD-A43076080-001-03-3,cantharidin,cantharidin,protein phosphatase inhibitor,
BRD-A43930669-003-01-0,L-368899,BRD-A43930669,oxytocin receptor antagonist,"AVPR1A, AVPR2, OXT, OXTR"
BRD-A43940795-001-02-8,NA,tetrahydropalmatine,serotonin release inhibitor,NA
BRD-A44551378-001-01-9,NA,LFM-A12,EGFR inhibitor,EGFR
BRD-A44863528-001-04-1,proglumide,proglumide,CCK receptor antagonist,"CCKAR, CCKBR"
BRD-A44966919-001-03-1,NA,boldine,acetylcholine receptor antagonist,"CHRNA4, CHRNB2, DRD1, DRD2"
BRD-A45140972-060-02-4,meclocycline-sulfosalicylate,meclocycline sulfosalicylate,bacterial 50S ribosomal subunit inhibitor,
BRD-A45543382-001-02-7,metrizamide,metrizamide,radiopaque medium,
BRD-A46066006-004-04-4,NA,clidinium bromide,muscarinic antagonist,NA
BRD-A47144777-001-02-5,dihydro-7-desacetyldeoxygedunin,BRD-A47144777,HSP90 inhibitor,HSP90AA1
BRD-A47513740-001-02-5,NA,calyculin A,protein phosphatase inhibitor,"PPP1CA, PPP1CC, PPP2CA"
BRD-A47598013-004-02-0,citalopram,citalopram,selective serotonin reuptake inhibitor (SSRI),"SLC6A2, SLC6A4"
BRD-A47633927-001-01-8,NPC-15199,BRD-A47633927,ICAM1 antagonist,"ICAM1, PPARG"
BRD-A48257147-001-01-9,PHCCC,BRD-A48257147,glutamate receptor agonist,"GRM1, GRM4"
BRD-A48300215-001-01-4,ajmaline,ajmaline,sodium channel blocker,SCN5A
BRD-A48809242-001-02-9,IB-MECA,IB-MECA,adenosine receptor agonist,"ADORA1, ADORA2A, ADORA2B, ADORA3"
BRD-A49172652-001-13-1,lansoprazole,lansoprazole,ATPase inhibitor,"ATP4A, ATP4B"
BRD-A49225603-045-02-7,NA,trimeprazine tartrate,histamine receptor agonist,HRH1
BRD-A49358627-001-03-9,ciprofibrate,ciprofibrate,PPAR receptor agonist,PPARA
BRD-A49370193-051-01-7,RO-60-0175,BRD-A49370193,serotonin receptor agonist,"HTR2A, HTR2B, HTR2C"
BRD-A49680073-001-01-9,NA,cucurbitacin I,JAK inhibitor|Lipocortin synthesis stimulant|STAT inhibitor,"JAK2, STAT3"
BRD-A50157456-065-02-4,terbutaline,terbutaline,adrenergic receptor agonist,ADRB2
BRD-A50311610-300-04-7,NA,meclozine,CAR agonist,"HRH1, NR1I3"
BRD-A50675702-001-03-0,fipronil,fipronil,chloride channel blocker|GABA gated chloride channel blocker,
BRD-A50684349-001-01-5,fenoldopam,fenoldopam,dopamine receptor agonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD4, DRD5"
BRD-A50737080-001-01-4,CGK-733,BRD-A50737080,ATR kinase inhibitor,"ATM, ATR"
BRD-A50764878-001-01-4,MDL-73005EF,MDL 73005EF,serotonin receptor antagonist,HTR1A
BRD-A51410489-001-01-4,NA,yohimbine hydrochloride,adrenergic receptor antagonist,"ADRA2A, ADRA2B, ADRA2C, DRD2, DRD3, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR7, KCNJ1, KCNJ10, KCNJ11, KCNJ12, KCNJ14, KCNJ15, KCNJ8"
BRD-A52922642-001-02-9,gallopamil,gallopamil,L-type calcium channel blocker,ATP2A2
BRD-A53077924-236-01-4,tianeptine,BRD-A53077924,Selective serotonin reuptake enhancer (SSRE),SLC6A4
BRD-A53416814-001-01-5,ceramide,BRD-A53416814,nitric oxide production inhibitor|phosphoenolpyruvate carboxylase activator|serine/threonine protein phosphatase activator,NA
BRD-A53952395-003-04-6,prilocaine,prilocaine,local anesthetic,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A"
BRD-A54029483-001-01-5,IRL-2500,BRD-A54029483,endothelin receptor antagonist,EDNRB
BRD-A54490543-066-04-4,pirlindole,pirlindole,monoamine oxidase inhibitor,MAOA
BRD-A54845972-066-01-5,dihydroergotamine,BRD-A54845972,serotonin receptor agonist|adrenergic receptor partial agonist|dopamine receptor agonist,"ADRA2A, DRD2, HTR1B, HTR1D, HTR1E, HTR1F, HTR2B, HTR7"
BRD-A54927599-001-07-8,KF-38789,BRD-A54927599,P-selectin inhibitor,SELP
BRD-A55272860-001-03-9,sulpiride,sulpiride,dopamine receptor antagonist,
BRD-A55424491-001-04-1,methotrexate,methotrexate,dihydrofolate reductase inhibitor,DHFR
BRD-A55756846-001-05-5,NA,H7,PKA inhibitor,"PKIA, PRKACA, PRKAR1A"
BRD-A55913614-316-04-7,primaquine,primaquine,antimalarial agent|DNA inhibitor,"KRT7, NQO2"
BRD-A56020723-001-02-0,NA,CA-074-Me,cathepsin inhibitor|antiamyloidogenic agent,CTSB
BRD-A57133233-003-03-7,chlorcyclizine,chlorcyclizine,histamine receptor antagonist,HRH1
BRD-A61154809-001-03-5,gliclazide,gliclazide,ATP channel blocker|insulin secretagogue,"ABCC8, VEGFA"
BRD-A61392169-001-01-9,NA,BRD-A61392169,glutamate receptor antagonist,"GRIN1, GRIN2B"
BRD-A61470182-001-02-4,NA,N-formylmethionylalanine,macrophage activator,NA
BRD-A62021152-003-01-8,WAY-161503,BRD-A62021152,serotonin receptor agonist,HTR2C
BRD-A62428732-096-02-6,hydroxyzine,hydroxyzine,antihistamine,HRH1
BRD-A62505706-001-02-3,edoxudine,edoxudine,DNA directed DNA polymerase inhibitor,
BRD-A63346720-300-01-1,rimcazole,BRD-A63346720,sigma receptor antagonist|dopamine reuptake inhibitor,SIGMAR1
BRD-A63667919-103-01-9,methylergometrine,BRD-A63667919,dopamine receptor antagonist|partial serotonin receptor agonist,"DRD1, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C"
BRD-A63836183-362-01-1,PD-123319,BRD-A63836183,angiotensin receptor antagonist,AGTR2
BRD-A63894585-001-03-4,clobetasol-propionate,clobetasol propionate,glucocorticoid receptor agonist,"NR3C1, PLA2G1B"
BRD-A64485570-001-02-9,trifluridine,trifluridine,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor,TYMS
BRD-A64933752-001-01-0,CV-1808,BRD-A64933752,adenosine receptor agonist,"ADORA2A, ADORA2B"
BRD-A65051990-001-03-8,acenocoumarol,acenocoumarol,vitamin K antagonist,VKORC1
BRD-A65076780-001-01-3,dihydroergocristine,DIHYDROERGOCRISTINE,adrenergic receptor antagonist|prolactin inhibitor,"ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A, HTR3A, HTR4, HTR5A, HTR6, HTR7"
BRD-A65145453-001-02-0,NA,BRD-A65145453,glutamate receptor agonist,"GRIA2, GRIK1"
BRD-A65671304-001-02-6,candesartan-cilextil,candesartan cilextil,angiotensin receptor antagonist,"AGTR1, AGTR2"
BRD-A66025870-237-05-1,NA,pheneticillin,bacterial cell wall synthesis inhibitor,NA
BRD-A66199457-001-02-2,NA,asiaticoside,antineoplastic,NA
BRD-A67552019-001-02-2,ouabain,ouabain,ATPase inhibitor,ATP1A1
BRD-A68888262-003-02-9,azelastine,azelastine,histamine receptor antagonist,HRH1
BRD-A68929948-001-01-9,DAPT-GSI-IX,BRD-A68929948,antiamyloidogenic agent|gamma secretase inhibitor,NA
BRD-A69777949-001-04-4,flumequine,flumequine,topoisomerase inhibitor,
BRD-A69786436-003-02-5,eucatropine,eucatropine,acetylcholine receptor antagonist,
BRD-A70407468-001-01-2,PSB-36,BRD-A70407468,adenosine receptor antagonist,"ADORA1, ADORA2A, ADORA2B, ADORA3"
BRD-A70649075-008-04-3,sulconazole,sulconazole,sterol demethylase inhibitor,
BRD-A71774530-001-01-8,lufenuron,lufenuron,chitin inhibitor,
BRD-A71816415-236-02-7,pravastatin,pravastatin,HMGCR inhibitor,"HMGCR, SLCO1B1"
BRD-A72066420-001-01-1,mifobate,BRD-A72066420,PPAR receptor antagonist,"PPARG, REN"
BRD-A72596465-001-01-3,NA,BRD-A72596465,PPAR receptor antagonist,PPARA
BRD-A72703248-001-02-7,SKF-96365,BRD-A72703248,calcium channel blocker|cytochrome P450 inhibitor,"CYP3A4, PKD2, TRPC1, TRPC3, TRPC4, TRPC5, TRPV2"
BRD-A72711497-236-02-0,lasalocid,lasalocid,bacterial permeability inducer,
BRD-A75455249-001-02-0,NA,(+/-)-kavain,calcium channel modulator|mTOR inhibitor|sodium channel blocker,MTOR
BRD-A75478957-001-01-6,PD-166793,BRD-A75478957,collagenase inhibitor|metalloproteinase inhibitor|stromelysin inhibitor,"MMP13, MMP2, MMP3"
BRD-A75769826-003-01-3,SDM25N,BRD-A75769826,opioid receptor antagonist,OPRD1
BRD-A75817871-001-02-6,blebbistatin-(-),blebbistatin,ATPase inhibitor,
BRD-A75850590-003-04-9,lomefloxacin,lomefloxacin,bacterial DNA gyrase inhibitor,TOP2A
BRD-A77291778-003-04-8,cyclopentolate,cyclopentolate,acetylcholine receptor antagonist,CHRM1
BRD-A77349281-001-02-2,NA,RK-682,heparanase inhibitor|tyrosine phosphatase inhibitor,"HPSE, PTPN1"
BRD-A78295502-337-03-5,NA,hydroquinine,anti-arrhythmia agent,NA
BRD-A79226577-003-01-1,tropisetron,BRD-A79226577,serotonin receptor antagonist|polarization inhibitor|sodium channel blocker,"GLRA1, GLRA2, GLRB, HTR3A, HTR4"
BRD-A79981887-003-04-0,midodrine,midodrine,adrenergic receptor agonist,"ADRA1A, ADRA1B, ADRA1D"
BRD-A80594172-001-02-0,betamethasone-valerate,betamethasone valerate,glucocorticoid receptor agonist,NR3C1
BRD-A81177136-001-03-6,KN-62,KN-62,calcium/calmodulin dependent protein kinase inhibitor|purinergic receptor antagonist,"AKT1, CAMK2A, CHEK1, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, P2RX7, PRKCA, ROCK1, RPS6KB1, SGK1"
BRD-A81615860-001-02-9,NA,fenclonine,tryptophan hydroxylase inhibitor,NA
BRD-A81795050-003-01-7,U-18666A,BRD-A81795050,oxidosqualene cyclase inhibitor,NA
BRD-A82238138-001-01-7,budesonide,BRD-A82238138,glucocorticoid receptor agonist,"CYP3A5, CYP3A7, NR3C1"
BRD-A82371568-001-01-5,clofarabine,BRD-A82371568,ribonucleoside reductase inhibitor|DNA polymerase inhibitor|DNA repair enzyme inhibitor|DNA synthesis inhibitor|ribonucleotide reductase inhibitor,"POLA1, RRM1, RRM2, SLC22A8"
BRD-A82590476-001-01-1,SDZ-NKT-343,BRD-A82590476,tachykinin antagonist,TACR1
BRD-A82656074-003-01-2,naltrindole,BRD-A82656074,opioid receptor antagonist,"OPRD1, OPRK1, OPRM1"
BRD-A84174873-001-06-0,baclofen,baclofen,benzodiazepine receptor agonist,"GABBR1, GABBR2, KCTD12, KCTD16, KCTD8"
BRD-A84389633-001-01-6,NA,"TROPANYL 3,5-DIMETHYLBENZOATE",serotonin receptor antagonist,NA
BRD-A85137183-001-01-2,cefprozil,cefprozil,bacterial cell wall synthesis inhibitor,
BRD-A86044036-001-04-2,NA,flurbiprofen,cyclooxygenase inhibitor,"PTGS1, PTGS2"
BRD-A88254928-001-04-6,NA,salbutamol,adrenergic receptor agonist,"ADRB1, ADRB2"
BRD-A88548664-001-01-5,SKF-38393,SKF-38393,dopamine receptor agonist,"CALY, DRD1, DRD5"
BRD-A89434049-001-02-1,NA,sarmentogenin,ATPase inhibitor,ATP1A1
BRD-A89585551-003-03-4,mefloquine,mefloquine,adenosine receptor antagonist|hemoglobin antagonist,"ADORA2A, HBA1"
BRD-A89947015-001-01-4,cladribine,cladribine,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,"ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B"
BRD-A90462498-003-02-1,NA,ancitabine,antineoplastic,NA
BRD-A90490067-001-01-9,fulvestrant,BRD-A90490067,estrogen receptor antagonist|DNA directed DNA polymerase inhibitor|soluble epoxide hydrolase inhibitor,"EPHX2, ESR1, ESR2, GPER1"
BRD-A90515964-001-05-8,guaifenesin,guaifenesin,expectorant,
BRD-A90799790-001-04-1,isradipine,isradipine,calcium channel blocker,"CACNA1C, CACNA1D, CACNA1F, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2"
BRD-A91008255-001-02-8,bepridil,bepridil,calcium channel blocker,"ATP1A1, CACNA1A, CACNA1H, CACNA2D2, CALM1, KCNQ1, KCNQ4, PDE1A, PDE1B, TNNC1"
BRD-A93206962-001-01-2,L-755507,BRD-A93206962,adrenergic receptor agonist|adrenergic receptor partial agonist,"ADRB1, ADRB2, ADRB3"
BRD-A93477898-001-01-8,PETCM,PETCM,caspase activator,CASP3
BRD-A93739713-065-02-7,NA,atropine sulfate,muscarinic antagonist,NA
BRD-A94413429-003-01-6,NTNCB,BRD-A94413429,neuropeptide receptor antagonist,NPY5R
BRD-A94624445-236-02-2,bucladesine,bucladesine,adenosine receptor agonist|cAMP stimulant,PRKACA
BRD-A95096829-300-01-4,PNU-96415E,BRD-A95096829,dopamine receptor antagonist,NA
BRD-A95207036-001-02-8,cyproterone-acetate,cyproterone acetate,androgen receptor antagonist,"ADORA1, AR"
BRD-A95445494-001-02-9,NA,maackiain,interleukin synthesis inhibitor|sodium/glucose cotransporter inhibitor,SLC5A2
BRD-A95513702-001-02-2,"androsta-1,4-dien-3,17-dione",BRD-A95513702,aromatase inhibitor,CYP19A1
BRD-A95869247-001-03-8,indapamide,indapamide,thiazide diuretic,"KCNE1, KCNQ1, SLC12A3"
BRD-A95939040-008-03-3,sertaconazole,sertaconazole,sterol demethylase inhibitor,
BRD-A96897502-001-02-0,NA,U-74389F,lipid peroxidase inhibitor,NA
BRD-A97104540-004-04-4,fenoterol,fenoterol,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3"
BRD-A97701745-001-04-6,pindolol,pindolol,adrenergic receptor antagonist,"ADRB1, ADRB2, HTR1A, HTR1B, HTR2A, HTR2B"
BRD-A97701745-001-04-6,pindolol-(-),pindolol,adrenergic receptor antagonist|serotonin receptor antagonist,HTR1A
BRD-A97730597-003-03-2,hexylcaine,hexylcaine,sodium channel blocker,"SCN10A, SCN5A"
BRD-A97739905-001-04-2,ketoprofen,ketoprofen,cyclooxygenase inhibitor,"CXCR1, PTGS1, PTGS2, SLC5A8"
BRD-A98299281-050-03-9,NA,velnacrine,calcium channel activator,ACHE
BRD-A98378129-001-01-4,talniflumate,BRD-A98378129,cyclooxygenase inhibitor|calcium channel blocker|calcium-activated chloride channel blocker|mucin production inhibitor,CLCA1
BRD-A98725278-103-01-9,methysergide,BRD-A98725278,serotonin receptor antagonist,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7"
BRD-A99177642-001-02-5,NA,deltaline,acetylcholine receptor antagonist,CHRNA7
BRD-A99402294-236-02-0,nafcillin,nafcillin,bacterial cell wall synthesis inhibitor,"CYP1A2, CYP3A4, SLC22A6"
BRD-A99411506-002-01-3,esculin,esculin,antioxidant,
BRD-A99449986-001-01-4,NA,MT-21,adenine nucleotide translocase inhibitor|caspase activator|neurotrophic agent,"CYCS, SLC25A4"
BRD-A99571536-001-01-0,NA,dubinidine,anti-epileptic,NA
BRD-K00141480-001-03-0,tanshinone-iia,tanshinone IIA,anti-inflammatory agent|interleukin inhibitor,"IL1B, NR1I2, TNF"
BRD-K00184207-001-02-4,NA,"6-FORMYLINDOLO [3,2-B] CARBAZOLE",aryl hydrocarbon receptor ligand,NA
BRD-K00259736-001-03-2,colchicine,colchicine,microtubule inhibitor,"GLRA1, GLRA2, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8"
BRD-K00312224-001-03-8,PPT,BRD-K00312224,estrogen receptor agonist,ESR1
